Infinite-ISP Performance & Accuracy Analysis Report
====================================================

Dataset: Mediatek RAW -> Fujifilm Ground Truth
Number of images: 2417
Total Processing Time: 1104.0592 seconds
Average Time Per Image: 0.4568 seconds
Overall FPS: 2.19 Frames/Second
Average PSNR: 20.8483 dB
Average SSIM: 0.765946

Individual Results:
Filename             | Time(s) | FPS | PSNR(dB) | SSIM
12816.png            | 0.4512 | 2.22 | 28.01 | 0.8975
1282.png             | 0.4505 | 2.22 | 18.50 | 0.7792
12825.png            | 0.4439 | 2.25 | 21.70 | 0.8281
12826.png            | 0.4460 | 2.24 | 26.90 | 0.9517
12839.png            | 0.4483 | 2.23 | 24.89 | 0.8310
12842.png            | 0.4485 | 2.23 | 28.46 | 0.7627
12843.png            | 0.4493 | 2.23 | 24.50 | 0.7605
12853.png            | 0.4464 | 2.24 | 23.56 | 0.9133
12865.png            | 0.4524 | 2.21 | 17.73 | 0.8384
1287.png             | 0.4483 | 2.23 | 22.68 | 0.8064
12879.png            | 0.4469 | 2.24 | 16.23 | 0.4944
12886.png            | 0.4498 | 2.22 | 21.93 | 0.7590
12887.png            | 0.4544 | 2.20 | 20.85 | 0.7756
12892.png            | 0.4534 | 2.21 | 18.12 | 0.7667
12893.png            | 0.4462 | 2.24 | 17.20 | 0.7383
12898.png            | 0.4590 | 2.18 | 19.06 | 0.6619
12910.png            | 0.4496 | 2.22 | 17.22 | 0.7424
1292.png             | 0.4518 | 2.21 | 20.42 | 0.7460
12925.png            | 0.4537 | 2.20 | 21.30 | 0.7517
12926.png            | 0.4469 | 2.24 | 23.97 | 0.8217
12932.png            | 0.4458 | 2.24 | 17.53 | 0.7540
1294.png             | 0.4550 | 2.20 | 25.18 | 0.8413
12946.png            | 0.4638 | 2.16 | 14.49 | 0.7172
12951.png            | 0.4604 | 2.17 | 17.81 | 0.6878
12971.png            | 0.4568 | 2.19 | 28.56 | 0.9788
12973.png            | 0.4508 | 2.22 | 26.22 | 0.8037
12981.png            | 0.4553 | 2.20 | 21.78 | 0.6140
12982.png            | 0.4548 | 2.20 | 21.79 | 0.9222
12998.png            | 0.4600 | 2.17 | 24.97 | 0.9825
13010.png            | 0.4512 | 2.22 | 25.83 | 0.9043
13015.png            | 0.4632 | 2.16 | 17.32 | 0.7809
13018.png            | 0.4504 | 2.22 | 19.27 | 0.7822
13023.png            | 0.4613 | 2.17 | 15.64 | 0.6780
13044.png            | 0.4580 | 2.18 | 19.71 | 0.7607
13048.png            | 0.4594 | 2.18 | 19.36 | 0.6180
1306.png             | 0.4579 | 2.18 | 21.68 | 0.8398
13067.png            | 0.4649 | 2.15 | 19.74 | 0.6755
13077.png            | 0.4538 | 2.20 | 23.47 | 0.7420
13086.png            | 0.4539 | 2.20 | 13.91 | 0.5710
13097.png            | 0.4622 | 2.16 | 23.74 | 0.7851
13098.png            | 0.4563 | 2.19 | 18.84 | 0.6725
131.png              | 0.4483 | 2.23 | 28.52 | 0.8671
1311.png             | 0.4677 | 2.14 | 19.59 | 0.8440
13133.png            | 0.4589 | 2.18 | 28.77 | 0.7368
13136.png            | 0.4545 | 2.20 | 14.14 | 0.7116
13142.png            | 0.4565 | 2.19 | 16.83 | 0.6560
13144.png            | 0.4633 | 2.16 | 25.15 | 0.8066
13148.png            | 0.4642 | 2.15 | 22.40 | 0.7092
13170.png            | 0.4688 | 2.13 | 20.96 | 0.8541
13174.png            | 0.4625 | 2.16 | 20.31 | 0.8593
13176.png            | 0.4576 | 2.19 | 20.86 | 0.8003
1319.png             | 0.4567 | 2.19 | 21.37 | 0.7845
13211.png            | 0.4558 | 2.19 | 20.84 | 0.5746
13230.png            | 0.4600 | 2.17 | 15.75 | 0.7693
13239.png            | 0.4619 | 2.17 | 23.37 | 0.7226
1324.png             | 0.4658 | 2.15 | 21.91 | 0.8056
13252.png            | 0.4505 | 2.22 | 24.10 | 0.9755
13259.png            | 0.4494 | 2.23 | 25.35 | 0.9598
13269.png            | 0.4570 | 2.19 | 27.37 | 0.9616
13277.png            | 0.4571 | 2.19 | 14.92 | 0.7908
13292.png            | 0.4659 | 2.15 | 14.80 | 0.7335
13293.png            | 0.4610 | 2.17 | 15.65 | 0.6494
